TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2013,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.4064171123
2015,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.245359161
2013,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.4420289855
2006,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.122265385
2007,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.947004608
2008,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.290685031
2022,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,28.59491988
2016,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,33.333333333
2017,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,40.28365265
2008,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,24.578575313
2009,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,22.439843313
2010,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,22.67699115
2011,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,21.963394343
2012,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,20.724233983
2014,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.017331023
2015,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.853292581
2016,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.282040647
2017,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.368449707
2018,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.521462639
2019,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.306986232
2007,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,42.857142857
2008,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,42.857142857
2009,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,47.368421053
2010,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,34.756452552
2011,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,33.845858159
2012,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,34.247619048
2014,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25
2015,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.972972973
2016,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.466666667
2017,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.263823065
2018,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.099805574
2019,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.617948718
2020,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.895781639
2021,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.766055046
2022,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.704013938
2005,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.736666666
2006,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.927152317
2007,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,24.025974025
2008,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25
2009,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.95892575
2010,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.759259259
2011,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,27.608187135
2012,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25.148549458
2014,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,19.324473976
2015,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,18.504366812
2016,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,18.264595608
2017,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,17.944621938
2018,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,17.153478492
2019,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,16.964285714
2009,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.802768166
2010,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.183333333
2011,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.378317877
2012,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.717932849
2014,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,18.685185183
2015,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,16.666666667
2016,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,14.520547945
2017,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,11.089778755
2018,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,18.083333335
2019,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,11.446375862
2020,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,15.156249999
2021,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,16.72753835
2022,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,20.419064972
2005,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,28.571428571
2006,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,19.320594478
2007,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,18.75
2008,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,19.454451878
2009,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,21.212121212
2010,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,19.242424242
2011,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,19.444444442
2012,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,17.5
2014,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.375
2018,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.3146853147
2006,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,7.816091954
2014,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.451205511
2015,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.882681564
2016,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.142076503
2017,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.172157279
2018,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.910585817
2019,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.470705065
2020,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.652495379
2021,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.864175023
2022,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.98440208
2023,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.389351082
2005,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.975069252
2006,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,19.246298789
2007,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,19.843342037
2008,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,20.050125313
2009,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,19.78021978
2010,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.810679612
2011,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.788461538
2012,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,19.086651054
2010,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.451169779
2014,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.241961415
2018,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.236041586
2019,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.519445514
2020,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.78279425
2021,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,24.952671203
2022,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.392236206
2010,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.9278350515
2014,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,8.0473372781
2018,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,8.2128397918
2019,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,10.515649628
2020,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,12.234982332
2021,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,11.793446653
2022,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,8.4075453673
2014,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,32.4784689
2015,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,33.133769878
2016,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,32.313503305
2020,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.0875
2021,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,17.404873365
2022,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,17.118663463
2023,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,16.68115627
2005,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.989641778
2009,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,35.013518733
2015,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.448979592
2016,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.511383538
2017,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.169197397
2018,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.608040201
2019,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.593247588
2020,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.762050497
2021,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.423346878
2022,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.21799308
2023,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.773552587
2005,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25.991711072
2006,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,26.613363792
2007,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,26.688453159
2008,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25.304393859
2009,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,24.45026178
2010,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.932917317
2011,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.257796258
2012,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.720472441
2010,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.9099099099
2014,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.1715817694
2018,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.9090909091
2019,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.9090909091
2020,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.9522715482
2021,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.1435209873
2022,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.0841903851
2014,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.0833333333
2015,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.92
2016,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.7692307692
2017,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.1508379888
2018,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.8696925329
2019,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.5084501978
2020,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.5814674475
2021,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.6666666667
2022,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.2558648733
2023,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.2303172738
2005,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.6111111111
2006,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.3333333333
2007,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.1428571429
2008,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.0536912752
2009,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.7591240876
2010,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.0112359551
2011,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.5333333333
2012,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.9079061685
2010,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.1188075406
2014,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.8721023181
2018,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.823802164
2019,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.073441439
2020,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.764927198
2021,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.558211206
2022,FRA,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.558211206
2014,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.8006941001
2015,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.9577735125
2016,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,6.3063063063
2017,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.4947613504
2018,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.1293690422
2019,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.3678665496
2020,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.8138639281
2021,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.6014790468
2022,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.4814594487
2023,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,4.5200892857
2005,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.6243763364
2006,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.210742388
2007,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.7894397939
2008,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.7575757576
2009,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,8.2843713278
2010,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.2360953462
2011,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.1448124829
2012,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,5.7921184872
2012,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.304347826
2013,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.323287672
2014,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,17.1875
2015,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15.816326531
2016,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15.510718789
2017,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.427860696
2018,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,15.714285714
2019,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.351851853
2020,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.062573468
2021,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,13.475054231
2022,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.380132185
2005,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.814159292
2006,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,18.542521995
2007,DEU,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,16.959064326
